"ID","Name","Distance (mi)","Moving time (s)","Elapsed time (s)","Elevation gain (ft)","Avg speed (mph)","Max speed (mph)","Avg cadence","Avg temp (C)","Avg HR","Max HR","Calories","Shoes","Start timestamp (local)","Start Lat","Start Lng","End Lat","End Lng","City","State","Country","Achievements","Kudos","Workout type"
"194741638","Slow recovery, finishing a first 40+ mile week","4.03984480633","2463","2482","144.356955381","5.90551181102","13.6453113815","86.8","20","","","530.0","Altra Lone Peak 2.0","2014-9-14 20:47:0","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","0","2","0"
"195600330","Not a good day at all","7.13930645033","3709","3964","72.1784776903","6.93002863278","21.9219756621","92.0","21","158.0","169","923.6","Saucony Kinvara 5","2014-9-16 19:39:7","37.87","-122.28","37.9","-122.3","Berkeley","CA","United States","0","1",""
"196844673","I like making interesting elevation maps","6.04457468385","3272","3472","675.853018373","6.65041159628","10.0662133142","89.4","21","159.5","181","816.4","Altra Lone Peak 2.0","2014-9-19 19:11:8","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","2","2","0"
"197839553","Quick test run before the big climb tomorrow","1.05720094647","818","891","200.131233596","4.65282748747","16.7770221904","72.4","20","","","147.0","Altra Lone Peak 1.5","2014-9-20 20:52:52","41.37","-122.13","41.37","-122.13","","California","United States","0","0","0"
"197839527","Mt. Shasta via Clear Creek : Failed summit attempt","10.458547085","15018","25767","5134.5144357","2.50760558339","11.8557623479","59.3","18","","","1923.8","Altra Lone Peak 1.5","2014-9-21 5:28:47","41.37","-122.13","41.37","-122.13","","California","United States","2","3","2"
"198695799","Still recovering from the weekend, but the ice bath helped","8.0219642289","4243","4377","196.850393701","6.80699713672","9.84251968504","89.6","23","156.7","172","1053.7","Altra Lone Peak 2.0","2014-9-23 17:39:43","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","3","1","0"
"199504196","Double Marin...running until dehydration!","9.03256233596","5485","5567","1499.34383202","5.92788117394","13.6453113815","83.5","20","156.3","181","1253.1","Altra Lone Peak 2.0","2014-9-25 18:59:54","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","6","2","0"
"200261068","You're going up a second time?! Oh my god!","20.3471103754","15548","20703","5055.77427822","4.71098783107","10.5136005727","72.9","20","153.8","174","3030.3","Altra Lone Peak 2.0","2014-9-27 7:0:42","37.92","-121.94","37.92","-121.94","Clayton","California","United States","0","5","2"
"201306421","Recovery","4.01641911238","2304","2530","200.131233596","6.27460629921","9.84251968504","87.7","19","","","528.5","Saucony Kinvara 5","2014-9-29 21:44:4","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","1","0",""
"202144330","Racing the Sun to the summit (Vollmer #4 with coyote sighting)","8.52341078104","5034","5435","1666.66666667","6.09565139585","12.3031496063","79.7","23","166.4","179","1203.0","Altra Lone Peak 1.5","2014-10-1 17:52:53","37.91","-122.26","37.91","-122.26","Berkeley","California","United States","14","4","0"
"202578576","The body just didn't want to climb today","6.54018034677","3617","3906","698.818897638","6.50948460988","9.17143879742","86.0","26","158.8","176","879.7","Altra Lone Peak 2.0","2014-10-2 19:38:20","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","7","3","0"
"202969350","Runcommute to Jupiter (the bar not the planet)","0.91254573292","578","7302","49.2125984252","5.68405511811","12.0794559771","83.1","27","","","124.9","Saucony Stabil CS2","2014-10-3 19:4:17","37.87","-122.28","37.87","-122.27","Berkeley","CA","United States","0","0","0"
"203271659","All trails lead to Vollmer peak (#5, #6, #7). Crazy hot day in Tilden!","20.0356791339","14787","19370","3868.11023622","4.87875805297","11.6320687187","75.2","26","149.0","171","2863.3","Altra Lone Peak 2.0","2014-10-4 6:50:29","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","6","5","2"
"203906962","Recovery that really felt like recovery","5.13842907421","3160","3204","252.624671916","5.85406227631","8.94774516822","89.4","21","136.7","154","675.9","Altra Lone Peak 2.0","2014-10-5 18:48:47","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","0","1","0"
"204691025","6 moderate + 1 hard + 2 cooldown","9.01193281238","4771","4860","324.803149606","6.80028632785","15.211166786","93.4","18","156.0","185","1182.9","Saucony Kinvara 5","2014-10-7 19:19:42","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","4","1",""
"205100314","Checking out some new shoes at Transports","0.515924500915","320","1358","36.0892388451","5.80484967788","12.3031496063","88.0","26","","","69.2","No name","2014-10-8 16:5:29","37.89","-122.29","37.89","-122.29","Berkeley","California","United States","0","0","0"
"205100007","Just four easy miles","4.0377942814","2209","2275","108.267716535","6.58106657122","11.1846814603","91.8","19","142.4","162","527.5","Altra Lone Peak 2.0","2014-10-8 19:44:26","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","1","0","0"
"205470931","Running is amazing when the body co-operates completely","13.1177672393","7316","7601","1295.93175853","6.45579813887","11.8557623479","88.1","18","159.6","180","1772.0","Altra Lone Peak 1.5","2014-10-9 17:36:13","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","22","4","2"
"206659961","Short run to meet a friend","1.03464517219","567","640","85.3018372703","6.56988188976","9.39513242663","89.3","25","145.7","161","143.9","Altra Instinct 2.0","2014-10-12 10:34:58","37.87","-122.28","37.87","-122.27","Berkeley","CA","United States","0","1","0"
"206659469","Slow, but not so easy","6.20606905671","3663","4591","518.372703412","6.10012526843","22.5930565497","86.5","30","150.8","172","827.9","Altra Instinct 2.0","2014-10-12 11:27:11","37.87","-122.27","37.87","-122.28","Berkeley","California","United States","2","3","0"
"207425313","Berkeley at its most beautiful!","4.20649656009","2072","2147","232.939632546","7.30807086614","12.3031496063","93.7","23","160.0","176","557.6","Altra Instinct 2.0","2014-10-14 14:40:41","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","1","0","0"
